filename,timestamp,blueprint,cluster_name,dok34_0_sys_pc,dok32_all_idle_pc,dok34_load_avg_1,dok34_all_usr_pc,dok33_all_sys_pc,dok34_load_avg_5,dok34_0_nice_pc,CorruptBlocks,dok33_users,NumDeadDataNodes,dok33_all_nice_pc,dok33_all_iowait_pc,dok34_0_irq_pc,dok34_all_nice_pc,dok34_memory_total,dok33_memory_used,dok33_0_iowait_pc,dok32_all_soft_pc,GcCountConcurrentMarkSweep,dok33_load_avg_5,NumStaleDataNodes,dok34_load_avg_15,dok33_0_sys_pc,NumLiveDataNodes,TotalLoad,dok32_all_nice_pc,dok34_0_usr_pc,GcTimeMillisConcurrentMarkSweep,dok34_all_soft_pc,UnderReplicatedBlocks,dok34_all_iowait_pc,dok34_all_steal_pc,dok32_NumCPUs,CapacityTotal,dok34_all_sys_pc,dok34_memory_buff/cache,dok32_memory_free,dok33_Remaining,MissingBlocks,dok33_0_usr_pc,dok32_all_gnice_pc,dok34_Remaining,dok34_memory_shared,dok32_memory_available,dok33_0_nice_pc,dok33_memory_shared,dok33_0_guest_pc,dok32_0_irq_pc,dok33_load_avg_15,dok34_days_up,CapacityRemaining,dok34_all_irq_pc,dok33_NumCPUs,dok32_0_iowait_pc,dok34_NumCPUs,dok32_0_sys_pc,dok33_all_guest_pc,dok33_all_irq_pc,dok32_0_idle_pc,VolumeFailuresTotal,dok34_0_steal_pc,dok32_users,dok32_0_steal_pc,dok33_load_avg_1,dok32_0_nice_pc,dok34_all_guest_pc,dok34_all_idle_pc,dok34_0_soft_pc,dok32_memory_used,dok33_0_steal_pc,dok32_all_iowait_pc,dok34_users,dok33_NumFailedVolumes,dok34_all_gnice_pc,dok33_0_soft_pc,BlockCapacity,dok34_0_gnice_pc,dok33_0_gnice_pc,dok33_all_steal_pc,FilesTotal,dok32_all_steal_pc,dok34_memory_used,dok33_days_up,dok33_0_irq_pc,dok32_all_sys_pc,dok32_memory_buff/cache,dok34_memory_free,dok32_0_soft_pc,dok32_0_usr_pc,dok33_all_idle_pc,dok33_memory_total,dok32_memory_shared,dok33_all_gnice_pc,TotalFiles,dok32_load_avg_15,dok33_memory_free,dok34_0_guest_pc,dok32_NumFailedVolumes,dok32_0_gnice_pc,dok32_all_irq_pc,dok32_memory_total,dok33_all_soft_pc,dok32_all_usr_pc,dok33_all_usr_pc,dok32_0_guest_pc,dok34_memory_available,dok32_all_guest_pc,dok32_Remaining,dok33_0_idle_pc,CapacityUsed,dok34_NumFailedVolumes,dok32_days_up,dok34_0_iowait_pc,dok32_load_avg_1,BlocksTotal,dok32_load_avg_5,dok34_0_idle_pc,dok33_memory_available,dok33_memory_buff/cache
dokcl3_1488552781.txt,1488552781,30,dokcl3,0.95,75.65,1.14,6.74,1.39,1.62,0.00,0,0,0,0.00,1.57,0.00,0.00,3523252,1662136,1.57,0.07,1,1.70,0,1.63,1.39,3,6,0.00,6.74,215,0.08,85,1.89,0.00,1,93365219328,0.95,2177952,680540,7338745856,0,42.15,0.00,4816769024,8608,1776756,0.00,8612,0.00,0.00,2.43,0,17391321088,0.00,1,1.81,1,1.94,0.00,0.00,75.65,0,0.00,0,0.00,1.15,0.00,0.00,90.33,0.08,1505180,0.00,1.81,1,0,0.00,0.19,2097152,0.00,0.00,0.00,1534,0.00,791124,0,0.00,1.94,1337532,554176,0.07,20.53,54.70,3523252,16904,0.00,1534,2.48,398060,0.00,0,0.00,0.00,3523252,0.19,20.53,42.15,0.00,2490740,0.00,5235806208,54.70,23694243164,0,0,1.89,2.90,1092,2.87,90.33,1628484,1463056
dokcl3_1488802863.txt,1488802863,30,dokcl3,0.54,80.11,0.08,2.61,0.83,0.06,0.00,0,0,0,0.00,1.32,0.00,0.00,3523252,2221516,1.32,0.02,2,0.17,0,0.06,0.83,3,6,0.00,2.61,172,0.02,85,0.94,0.00,1,93365219328,0.54,674224,893836,17580998656,0,7.31,0.00,16285605888,8628,1620940,0.00,8644,0.00,0.00,0.33,0,49909108736,0.00,1,1.18,1,1.56,0.00,0.00,80.11,0,0.00,0,0.00,0.02,0.00,0.00,95.89,0.02,1600292,0.00,1.18,1,0,0.00,0.04,2097152,0.00,0.00,0.00,1547,0.00,834164,0,0.00,1.56,1029124,2014864,0.02,17.13,90.51,3523252,8704,0.00,1547,1.20,395088,0.00,0,0.00,0.00,3523252,0.04,17.13,7.31,0.00,2390628,0.00,16042299392,90.51,16712306688,0,0,0.94,0.91,1092,1.28,95.89,1062920,906648
dokcl3_1488802921.txt,1488802921,30,dokcl3,0.57,79.74,1.38,2.98,0.84,0.42,0.00,0,0,0,0.00,1.47,0.00,0.00,3523252,2289276,1.47,0.03,2,0.45,0,0.18,0.84,3,8,0.00,2.98,172,0.02,85,1.47,0.00,1,93365219328,0.57,1303376,436100,17212674048,0,7.33,0.00,15917318144,8696,1531980,0.00,8648,0.00,0.00,0.41,0,48803450880,0.00,1,1.47,1,1.57,0.00,0.00,79.74,0,0.00,0,0.00,1.39,0.00,0.00,94.95,0.02,1689024,0.00,1.47,1,0,0.00,0.05,2097152,0.00,0.00,0.00,1554,0.00,1263948,0,0.00,1.57,1398128,955928,0.03,17.20,90.32,3523252,8752,0.00,1554,1.24,126812,0.00,0,0.00,0.00,3523252,0.05,17.20,7.33,0.00,1959604,0.00,15673393152,90.32,17263591401,0,0,1.47,1.68,1098,1.38,94.95,992468,1107164
dokcl3_1488802981.txt,1488802981,30,dokcl3,0.60,79.14,1.87,3.27,0.87,0.76,0.00,0,0,0,0.00,1.93,0.00,0.00,3523252,2469248,1.93,0.03,2,0.81,0,0.31,0.87,3,7,0.00,3.27,172,0.02,91,1.62,0.00,1,93365219328,0.60,1672748,152528,16709349376,0,7.62,0.00,15365861376,8636,1228748,0.00,8648,0.00,0.00,0.53,0,47332491264,0.00,1,1.76,1,1.59,0.00,0.00,79.14,0,0.00,0,0.00,1.99,0.00,0.00,94.49,0.02,1992016,0.00,1.76,1,0,0.00,0.05,2097152,0.00,0.00,0.00,1564,0.00,1298232,0,0.00,1.59,1378708,552272,0.03,17.47,89.53,3523252,8748,0.00,1558,1.41,125392,0.00,0,0.00,0.00,3523252,0.05,17.47,7.62,0.00,1925424,0.00,15256915968,89.53,17631328417,0,0,1.62,3.56,1107,1.88,94.49,817352,928612
dokcl3_1488803041.txt,1488803041,30,dokcl3,0.63,78.76,1.49,3.66,0.88,0.91,0.00,0,0,0,0.00,2.04,0.00,0.00,3523252,2228664,2.04,0.04,2,0.94,0,0.39,0.88,3,6,0.00,3.66,172,0.03,85,1.75,0.00,1,93365219328,0.63,2041608,765620,16534339584,0,7.73,0.00,15182036992,8668,1595132,0.00,8612,0.00,0.00,0.59,0,46655381504,0.00,1,1.84,1,1.61,0.00,0.00,78.76,0,0.00,0,0.00,1.83,0.00,0.00,93.92,0.03,1627340,0.00,1.84,1,0,0.00,0.05,2097152,0.00,0.00,0.00,1559,0.00,912872,0,0.00,1.61,1130292,568772,0.04,17.75,89.29,3523252,8712,0.00,1559,1.59,588784,0.00,0,0.00,0.00,3523252,0.05,17.75,7.73,0.00,2310964,0.00,14939004928,89.29,16848215235,0,0,1.75,4.13,1101,2.32,93.92,1063244,705804
dokcl3_1488803101.txt,1488803101,30,dokcl3,0.67,78.30,2.42,3.99,0.90,1.30,0.00,0,0,0,0.00,2.18,0.00,0.00,3523252,2237028,2.18,0.04,2,0.89,0,0.56,0.90,3,6,0.00,3.99,172,0.03,85,1.99,0.00,1,93365219328,0.67,1843232,626240,16157339648,0,7.83,0.00,15080837120,8684,1589364,0.00,8612,0.00,0.00,0.60,0,46394298368,0.00,1,2.10,1,1.63,0.00,0.00,78.30,0,0.00,0,0.00,1.06,0.00,0.00,93.31,0.03,1632740,0.00,2.10,1,0,0.00,0.06,2097152,0.00,0.00,0.00,1563,0.00,894580,0,0.00,1.63,1264272,785440,0.04,17.93,89.03,3523252,8752,0.00,1560,1.70,473268,0.00,0,0.00,0.00,3523252,0.06,17.93,7.83,0.00,2329096,0.00,15156240384,89.03,16896924181,0,0,1.99,3.96,1104,2.53,93.31,1055888,812956
dokcl3_1488803162.txt,1488803162,30,dokcl3,0.71,78.02,2.98,4.34,0.92,1.65,0.00,0,0,0,0.00,2.42,0.00,0.00,3523252,2235352,2.42,0.04,2,1.07,0,0.73,0.92,3,6,0.00,4.34,172,0.04,85,2.16,0.00,1,93365219328,0.71,1849384,511396,16102305792,0,7.99,0.00,14778482688,8636,1606880,0.00,8612,0.00,0.00,0.68,0,45686579200,0.00,1,2.26,1,1.64,0.00,0.00,78.02,0,0.00,0,0.00,1.53,0.00,0.00,92.76,0.04,1617300,0.00,2.26,1,0,0.00,0.06,2097152,0.00,0.00,0.00,1567,0.00,918432,0,0.00,1.64,1394556,755436,0.04,18.03,88.60,3523252,8712,0.00,1567,1.76,404056,0.00,0,0.00,0.00,3523252,0.06,18.03,7.99,0.00,2305476,0.00,14854189056,88.60,17264658015,0,0,2.16,3.38,1107,2.57,92.76,1057548,883844
dokcl3_1488803221.txt,1488803221,30,dokcl3,0.75,77.71,2.44,4.65,0.94,1.75,0.00,0,0,0,0.00,2.63,0.00,0.00,3523252,2238848,2.63,0.05,2,1.32,0,0.82,0.94,3,6,0.00,4.65,172,0.04,85,2.27,0.00,1,93365219328,0.75,1826604,453508,15787462656,0,8.08,0.00,14438907904,8684,1617592,0.00,8648,0.00,0.00,0.79,0,44734980096,0.00,1,2.36,1,1.66,0.00,0.00,77.71,0,0.00,0,0.00,2.11,0.00,0.00,92.29,0.04,1607740,0.00,2.36,1,0,0.00,0.07,2097152,0.00,0.00,0.00,1571,0.00,864308,0,0.00,1.66,1462004,832340,0.05,18.22,88.29,3523252,8752,0.00,1571,1.79,387744,0.00,0,0.00,0.00,3523252,0.07,18.22,8.08,0.00,2359584,0.00,14508679168,88.29,17264875081,0,0,2.27,2.64,1110,2.52,92.29,1059176,896660
dokcl3_1488803281.txt,1488803281,30,dokcl3,0.77,77.43,2.19,4.96,0.95,1.81,0.00,0,0,0,0.00,2.63,0.00,0.00,3523252,2236852,2.63,0.05,2,1.18,0,0.90,0.95,3,6,0.00,4.96,172,0.04,85,2.35,0.00,1,93365219328,0.77,1857664,429800,15631507456,0,8.22,0.00,14255321088,8688,1613524,0.00,8612,0.00,0.00,0.77,0,44163481600,0.00,1,2.55,1,1.68,0.00,0.00,77.43,0,0.00,0,0.00,1.08,0.00,0.00,91.87,0.04,1613004,0.00,2.55,1,0,0.00,0.07,2097152,0.00,0.00,0.00,1575,0.00,871028,0,0.00,1.68,1480448,794560,0.05,18.29,88.13,3523252,8712,0.00,1575,1.82,365852,0.00,0,0.00,0.00,3523252,0.07,18.29,8.22,0.00,2352756,0.00,14276653056,88.13,16713804272,0,0,2.35,2.63,1113,2.48,91.87,1061872,920548
dokcl3_1488803341.txt,1488803341,30,dokcl3,0.80,77.11,1.92,5.18,0.97,1.89,0.00,0,0,0,0.00,2.77,0.00,0.00,3523252,2239104,2.77,0.06,2,1.44,0,0.99,0.97,3,6,0.00,5.18,172,0.05,85,2.51,0.00,1,93365219328,0.80,1840884,550852,15637520384,0,8.41,0.00,14255599616,8684,1614480,0.00,8612,0.00,0.00,0.88,0,44353064960,0.00,1,2.68,1,1.69,0.00,0.00,77.11,0,0.00,0,0.00,1.99,0.00,0.00,91.46,0.05,1612216,0.00,2.68,1,0,0.00,0.07,2097152,0.00,0.00,0.00,1579,0.00,867820,0,0.00,1.69,1360184,814548,0.06,18.46,87.78,3523252,8748,0.00,1579,1.94,623160,0.00,0,0.00,0.00,3523252,0.07,18.46,8.41,0.00,2355936,0.00,14459920384,87.78,16714318682,0,0,2.51,3.25,1116,2.71,91.46,1062304,660988
